content,ename,more,name
长安少侠乐无异（王力宏 饰），为追寻偃甲大师谢衣（高圣远 饰）的下落，与富家公子夏夷则（高以翔 饰）和百草谷天罡战士闻人羽（宋茜 饰）在海市博卖行相遇，并意外牵涉进流月城大祭司沈夜（张智霖饰）与心魔企图毁灭人类的惊天交易中。欲消灭心魔，必重铸昭明神剑，乐无异、闻人羽、夏夷则在谢衣的提示下，找到封印在画中的神秘少女阿阮（吴千语 饰），并同她一起踏上寻剑之旅。一场斩杀心魔，拯救苍生的正义之战就此展开……,雷尼·哈林,Legend of the Ancient Sword,中国大陆,2018-10-01大陆上映,/ 105分钟,"奇幻,动作",古剑奇谭之流月昭明
被封印的魔王再度苏醒，强盗法鲁格得知小芝麻是彻底解除封印的关键后派出手下四处搜寻，小芝麻能否逃过一劫？    为了帮助好朋友，冒险归来的阿里巴巴再度踏上了冒险的旅程，阴云笼罩着大地，此次在前方等待他的将会是什么？,蒋叶峰,Alibaba Three Blondes,中国大陆,2018-12-30大陆上映,/ 82分钟,"喜剧,动画,冒险",阿里巴巴三根金发
铃兰男子高中是一所恶名远播的学校，这里聚集着一群嗜好打架的不良学生，他们因象征着流血等不吉利事件，而被称为“乌鸦”，为争夺学校霸权，他们又分为诸多派系，其中最强悍的两股势力为：芹泽多摩雄（山田孝之 饰）所带领的芹泽军团，转校生泷谷源治（小栗旬 饰）和地头蛇片桐拳（矢部恭介 饰）联手的新力军。随着两派矛盾的激化，源治和芹泽两大乌鸦军团决一雌雄的时候即将到来……,三池崇史,クローズZERO,日本,2007-10-27日本上映,/ 130分钟,"动作,惊悚",热血高校
"这里可能是香港最后的一条穷街陋巷了，在特区政府的城建计划里，这里也很快会被高楼大厦所覆盖。故事就发生在这里——大磡村。村民朱家父子开着一个烧腊店，过着简单的生活。但是一名大陆女子的出现，扰乱了他们原本平静的生活。这个活泼俏丽的女子名叫东东（周迅 饰），她就住在朱家的后面，一个号称“香港好莱坞”的豪华公寓里,她是，不仅与朱家天真无邪的小儿子阿细结成忘年之交，也勾起爸爸（陈英明 饰）与哥哥阿明（何世文 饰）禁锢已久的男性情欲，三父子平淡的感情生活掀起了巨浪。令朱家父子更想不到的是，因为这位女子带来的风波，再加上特区政府的重建计划，他们要无奈地被迫离开这个生活了半个世纪的家——大磡村......",陈果,Hollywood Hong-Kong,"中国香港,法国,英国,日本",2002-07-11中国香港上映,/ 102分钟,"喜剧,爱情,剧情",香港有个荷里活
这是一部令人眼花缭乱，绝对能带给您感官刺激的动作电影。一个新娘（乌玛·瑟曼 饰）在自己的婚礼上遭到了暗杀，婚礼瞬间变成了一片狼籍的红色。幸运的是，新娘并没有就此消失，而是在四年后苏醒过来，并且接受了高强度的各种各样的武术训练，开始踏上了自己的复仇之路，在世界各地寻找给自己带来灾难的人。当然，她也遇到了许多阻碍。日本杀手（刘玉玲 饰）就是其中之一。这场红色的复仇之路究竟伸向何处，又有多曲折呢？,昆汀·塔伦蒂诺,Kill Bill: Vol. 1,美国,2003-10-10美国上映,/ 111分钟,"动作,犯罪,惊悚",杀死比尔
故事发生在英勇的骑士、美丽的公主和与巫师战斗的时代。流浪艺术家鲁斯兰梦想成为一名骑士，偶遇了美丽的公主米拉并坠入爱河，他们在城堡外度过了美妙的时光。然而，幸福并没有持续太久，邪恶的魔法师切诺莫为了达成阴谋，在鲁斯兰的眼前用魔法漩涡劫走了米拉。慌乱之后，鲁斯兰开始试图穿越魔法森林寻找公主，经过一系列奇妙生物的“助攻”后克服了重重障碍，最终战胜了邪恶魔法，与公主幸福的生活在一起。,奥列格·马拉姆兹,Викрадена принцеса: Руслан i Людмила,乌克兰,2019-01-18大陆上映,/ 91分钟,"喜剧,动画,家庭",森林奇缘
第二集中，尼奥（基努·里维斯 饰）没有能从摧毁内部“母体”，他的身体在真实世界的飞船上陷于昏迷，思想却被困在介于“母体”和真实世界的中间地带，这个地方由“火车人”控制。墨菲斯（劳伦斯·菲什伯恩 饰）和崔妮蒂（凯莉-安·摩丝 饰）等人知道了尼奥的情况，在守护天使的带领下，找到了“火车人”的控制者梅罗纹奇，经过一番激斗，将尼奥救了出来。此时，电子乌贼部队对锡安发起了猛烈的攻击，人类组织所有机甲战士展开顽强的抵抗，形势危在旦夕；尼奥和崔妮蒂驾驶了一艘飞船克服重重困难，到达机器城市，尼奥终于见到了机器世界的统治者“机器大帝”，双发谈判并达成了协议：尼奥除掉不受“母体”控制的史密斯，以换取锡安的和平。在“母体”中，尼奥和史密斯展开了关系人类生死存亡的最后决斗。,莉莉·沃卓斯基,The Matrix Revolutions,"美国,澳大利亚",2003-11-05大陆上映,/ 129分钟,"动作,冒险,科幻",黑客帝国3：矩阵革命
高中生艾利克斯-伯朗宁（德文·萨瓦 饰）与7名同班同学登机前往巴黎。起飞前，他突然预感到恐怖的一幕：飞机将会在空中爆炸。艾利克斯非常惊恐，大喊飞机即将出事，大家要立刻下机，结果混乱中他和其余6名乘客被机组人员赶了出来。但是，被艾利克斯不幸言中，飞机在半空中爆炸，全部人员罹难。所有下了机的人都在庆幸大难不死，却不知死神还是不愿放过他们。接下来，等待他们的将会是更恐怖的死亡方式和更难逃脱的死亡命运。而艾利克斯又能从各人的死亡顺序里面发现什么秘密，在死神的魔爪中逃出生天？,黄毅瑜,Final Destination,"美国,加拿大",2000-03-17美国上映,/ 98分钟,"奇幻,惊悚,恐怖",死神来了
女巫Gothel（唐纳·墨菲 配音）靠着一朵神奇的金色花朵保持青春。王后重病，国王派人找到了这朵金花给王后治病，王后病愈，生下了一个一头金发的小女孩Rapunzel（曼迪·摩尔 配音）。女巫失去金花，却发现小公主的金发有着同样的魔力，因此她偷走Rapunzel，把她关到森林中的一座没有楼梯高塔之上。十八年后，Rapunzel在女巫的抚养下长成一个拥有长长金发的美人，她越发渴望外面的世界，女巫为了自己青春永驻，想方设法把Rapunzel留在身边。一天，窃贼Flynn（扎克瑞·莱维 配音）盗取公主王冠后逃入森林，在好奇心趋势下登上了这座神秘的高塔，误打误撞见到了塔中的长发公主。在Flynn的陪伴下，Rapunzel走下高塔，开始了人生和爱情的大冒险。本片为迪斯尼公司第50部动画长片，改变自经典格林童话《长发公主》，由迪士尼元老级画师格兰·基恩首次担任动画片导演。,拜伦·霍华德,Tangled,美国,2010-11-24美国上映,/ 100分钟,"喜剧,家庭,动画",魔发奇缘
周凯（王凯 饰）参与走私，被身为缉毒警察的弟弟周超（马天宇 饰）逮捕入狱。三年后，周凯出狱，改过自新。曾经的手下阿仓（余皑磊 饰）已为毒贩头目，为获取周凯的海外客户资料，设计加害周凯。江湖中的好兄弟马柯（王大陆 饰）为了替周凯报仇，失去一条腿。自己的亲弟弟周超不相信哥哥周凯已金盆洗手，不断搜集证据，欲亲手逮捕周凯。最终，周凯与警方合作，逮捕了阿仓，两兄弟重归于好。,丁晟,A Better Tomorrow 2018,中国大陆,2018-01-18大陆上映,/ 110分钟,"剧情,动作",英雄本色2018
香港最大黑社会帮会“和联胜”举行两年一度的办事人选举，阿乐（任达华 饰）与大D（梁家辉 饰）作为两大地区领导，暗地里展开争夺宝座的努力，一众有投票权的元老亦为自身利益而明争暗斗，选举因此相当不顺利。结果，阿乐再次获选成为办事人，满心不服的大D决定挑战帮规，他要抢夺到象征最高权力的信物龙头棍，组织新帮会。五名小头目（古天乐、张兆辉、张家辉、林雪、林家栋 饰）牵连其中，为争夺龙头棍展开连番内斗。最终鹿死谁手，一切不得而知。,杜琪峰,Election,中国香港,2005-10-20中国香港上映,/ 100分钟,"惊悚,剧情,犯罪",黑社会
香港某大型医院，外科主任医师佟倩（赵薇 饰）刚刚完成例行巡视。接二连三的手术让她的神经高度紧张，加上有的患者术后情况并不理想，无形间使她的精神承受了巨大的压力。就在此时，一名遭受枪伤的男子被紧急送到医院。对方名叫张礼信（钟汉良 饰），是一个胆大包天且狡诈非常的高智商罪犯。虽然头部中枪，但幸运的是并未给他造成巨大的创伤。从昏迷中醒来的张拒绝手术，仿佛正耐心等待时机。监视并开枪射伤他的警官陈伟乐（古天乐 饰）高度紧张，他急于知道对方同伙的下落，为此不惜采用非法手段。 医患如织的医院内，短短六个小时里，警察、医生和悍匪三方展开了艰苦卓绝的角力……,杜琪峰,Three,"中国大陆,中国香港",2016-06-24大陆上映,/ 88分钟,"动作,悬疑,犯罪",三人行
初涉社会的安德丽娅·桑切丝（安妮·海瑟薇 饰）来到了著名时尚杂志《RUNWAY》面试，以聪明得到了主编米兰达·普雷斯丽（梅利尔·斯特里普 饰）的特许，让她担任自己的第二助理。开始的时候安德丽娅感到十分委屈，就算自己多努力工作也无法得到赞赏，经一位老前辈的指点便重新改造自己。工作越来越顺，甚至取代了第一助理在米兰达心中的地位，决定带着这个聪明的女孩前往法国。可安德丽的改变让她失去了男友及朋友的爱，令她非常矛盾。到达法国后，她得知了米兰达的地位不保了，没想到米兰达竟然牺牲自己多年的好搭档保住了自己的地位，此事令安德丽娅深感失望，有了抽身离去的想法，到底安德丽娅会何去何从？,大卫·弗兰科尔,The Devil Wears Prada,"美国,法国",2007-02-27大陆上映,/ 109分钟,"剧情,爱情,喜剧",穿普拉达的女王
1937年12月13日，时为国民政府首都的南京城沦陷，部分官员弃城逃亡，但仍有许多官兵留守，誓死保卫这个大厦将倾的城池。宋锡濂部军官陆剑雄（刘烨 饰）协同战友与日军展开了激烈的巷战，他们微弱而顽强的抵抗最终被压制，数以万计的中国军民成为俘虏，在枪炮声中血染长江；金陵女子学院安全区，女教师姜淑云（高圆圆 饰）奔波往复，尽力帮助和拯救所有来此避难的同胞，但兽性大发的日军早已虎视眈眈盯上了藏身于此的妇女；拉贝的秘书唐先生（范伟 饰）小心应付，委曲求全，为了保护家人而做出错误的选择，他也为此付出代价；舞女小江（江一燕 饰）纵使逃亡避难也不愿抛却女性的柔媚，她在关键时刻的选择则在其女性的外壳下注入一份刚强；日本人角川（中泉英雄 饰）随部队进驻这个千疮百孔、破败不堪的城池，在这个人间炼狱，他的心灵感受到前所未有的巨大冲击。 狼烟滚滚，血流成河，大时代的背景下，人们既要承受时代的无情给予，也要做出攸关命运的痛苦抉择……,陆川,City of Life and Death,"中国大陆,中国香港",2009-04-22大陆上映,/ 132分钟,"剧情,战争,历史",南京！南京！
"Released on the same day as the Daredevil movie with Ben Affleck, Daredevil vs. Spider-Man is a collection of four animated episodes from the Spider-Man animated series which started in 1994 on Fox.",Christopher Daniel Barnes,Daredevil vs. Spider-Man,美国,2003美国上映,/ 80分钟,"动作,科幻,奇幻",超胆侠大战蜘蛛侠
威廉·华莱士童年时，其父、苏格兰民族英雄马索·华莱士在与英军的斗争中牺牲，他开始接受父亲好友的指导，学习苏格兰文化和武术。青年华莱士（梅尔·吉布森 饰）学成回到故乡，向美丽的少女梅伦求婚，不想梅伦被英军抢去且遭杀害。在广大村民“英雄之后”的呼声中，华莱士率众揭竿起义，并与苏格兰贵族罗伯结成联盟，但不久他发现，苏格兰贵族考虑的只是自身的利益。英王为缓和局势，派伊莎贝拉（苏菲·玛索 饰）前去和华莱士谈判，由于英王只想收买华莱士，根本不顾苏格兰人民的自由和平等，谈判失败，但这一切并不为伊莎贝拉所知。伊莎贝拉归国后发现事情真相，且知晓英王正策划阴招，忙送信给华莱士，而两人的爱情，也在战争与阴谋中悄然滋生。,梅尔·吉布森,Braveheart,美国,1995-05-24美国上映,/ 177分钟,"动作,传记,历史",勇敢的心
电影剧情： 韩丽萍丧夫后与旧爱富家子范家宝再续前缘。婚后，丽萍与前夫所生女儿黎小莲常遭家宝家人欺负，小莲更被同学取笑为油瓶女，由是对丽萍渐生怨怼。家宝母亲大寿，小莲因小故受屈，被丽萍当众责打，负气之下离家，得校长林秀华同情收留，从此坚拒返回范家。 家宝经此刺激，旧病复发身亡，丽萍随即被逐离家，惟独力供养小莲，小莲却始终怨恨丽萍。十多年后，小莲优异成绩毕业在即，丽萍缝制了一件新衣托秀华转送给小莲，秀华女儿在旁冷嘲热讽，小莲愤而出走，险为阿飞所骗，幸丽萍及时助她脱险。小莲羞愤之下跳海，得丽萍舍身相救，终省悟过来，向母认错，母女团圆。 出品时间：1961年 出品公司：山月电影制片公司 制片地区：中国香港 类 型：剧情 片 长：98分钟 上映时间：1961年04月05日 对白语言：粤语 色 彩：黑白 职员表： 导演：关文清 副导演（助理）：余烨 编剧：关文清 摄影：黄锡林 道具：周黎明 灯光：费关庆 录音：夏培龄 场记：汤婉 布景师：温文 监制：刘铁池 制片：李文丽；谭天 助理摄影：唐根 音乐：陈云海；赵一深 录音助理：张望 化妆：关良 化妆助理：郑文霞 剧照：潘肇猷 场务：梁细 演员表： 角色 演员 备注 韩丽萍 白燕 ---- 范家宝 张瑛 ---- 林秀华 黄曼梨 ---- 黎小莲(少年) 上官筠慧 ---- 四婶 大口何 ---- 范家英 高鲁泉 ---- 李洪 夏春秋 ---- 范母 马笑英 ---- 大嫂 容玉意 ---- 黎小莲(幼年) 叶慧儿 ---- 蔡翠珊(少年) 朱惠仪 ---- 蔡翠珊(幼年) 敏儿 ---- 大夫钟谦 白龙珠 ---- 蔡小华(幼年) 石修 ---- 蔡小华(少年) 罗琼 ---- 联合主演：黎明,关文清,Ke lian de mama,中国香港,1961-04-05中国香港上映,/ 100分钟,"喜剧,家庭",可怜的妈妈
自风都塔建立30年以来，风都的和平持续了相当长一段时间。但是就在这个夏天，这座平静的城市再起波澜。一群本应死亡的Dopont突然出现在街头，对周遭进行大肆破坏。左翔太郎（桐山漣 饰）和飞利浦（菅田将暉 饰）合体变身为假面骑士W，风都警署警官照井龙（木ノ本嶺浩 饰）则化身假面骑士阿克塞尔，与入侵的Dopont进行殊死搏斗。在国际特务调查机关员玛丽亚·S·克兰贝蒂（杉本彩 饰）的协助下，正义战士们击退了入侵者，却发现他们原本都是佩戴了盖亚记忆体的普通市民。从玛丽亚的口中得知，国际重犯大道克己（松岡充 饰）及其邪恶组织“Never”的成员们劫持了编号A~Z的26个盖亚记忆体，他们更阴谋占领风都。 一场激烈的正邪战争即将展开……,坂本浩一,仮面ライダーW FOREVER AtoZ/運命のガイアメモリ,日本,2010-08-07日本上映,/ 66分钟,剧情,假面骑士W(Double) FOREVER AtoZ/命运的盖亚记忆存储条
骁勇善战的秦朝大将军蒙毅（成龙 饰）受秦始皇所命，负责护送玉漱公主（金喜善 饰）入秦为妃，一路上彼此情愫暗生，可蒙毅还是选择了效忠君主。秦始皇病危，蒙毅去拿长生不老药并战死沙场。而公主试药成功，在秦王死后被禁在秦王陵中……几千年后，梦中的神秘白衣女子缠绕考古学家Jack（成龙 饰）多年，一次好友William（梁家辉 饰）邀他一同前往印度探险，高僧告诉Jack他被一段前世缘分困扰，Jack来到古都，开始了寻梦之旅。Jack乘直升机到郦山上空，冒险跃入瀑布，情景一如梦境。但与此同时，却有歹人一直尾随。在秦王陵中又会有什么情景？千古神话能够延续吗？,唐季礼,The Myth,"中国大陆,中国香港",2005-09-23大陆上映,/ 122分钟,"喜剧,动作,冒险",神话
年度争议大作《五十度灰》即将在2月13日北美上映，近日，导演萨姆·泰勒-约翰逊，主演詹米·多南和达科塔·约翰逊在纽约一场影片粉丝放映会上，向到场的观众宣布了《五十度灰2》和《五十度灰3》已经确定拍摄的消息。 据MTV透露，《五十度灰2》和《五十度灰3》将根据E.L.詹姆斯所著的《五十度黑》（《Fifty Shades Darker》）和《五十度飞》（《Fifty Shades Freed》）改编，达科塔·约翰逊饰演女主角安娜斯塔西娅·斯蒂尔也将再次登上大银幕。,詹姆斯·弗雷,Fifty Shades Darker,美国,2017-02-10美国上映,/ 118分钟,"剧情,爱情,情色",五十度黑
哈蒙德（理查德·阿滕伯勒 饰）立志要建立一个非同寻常的公园：恐龙将是这个公园的主角。他把众多科学家收归旗下，利用琥珀里面困住的远古蚊子体内的血液，提取出恐龙的基因信息，利用这些信息培育繁殖恐龙。结果如愿以偿，他把怒布拉岛建立成了一个恐龙公园，坚信可以从中赚取大钱。然而，科学家们则忧心忡忡。不幸的事情果然发生了。虽然公园有电脑系统管理，但却因为被员工破坏而造成了无法挽救的失控：所有的恐龙逃出了控制区，人们纷纷逃窜却逃不过恐龙的魔爪。恐龙自相残杀，人们亦死难无数，最后幸存者寥寥，只得四人逃出生天。怒布拉岛上空弥漫着恐怖的气息。,史蒂文·斯皮尔伯格,Jurassic Park,美国,2013-08-20大陆上映,/ 127分钟,"科幻,惊悚,冒险",侏罗纪公园
1979年冷战高峰期，身在东德的冈特（大卫·克劳斯 David Kross 饰）和彼得（弗莱德里奇·穆克 Friedrich Mücke 饰）为了追求自由，用超过两年的时间筹画了一场“惊天大逃亡”：他们用有限的资源，自制了一个巨大的热气球，并打算用它载着家人逃到西德。不料，就在即将越过边境时，热气球却意外坠毁，引来东德秘密警察铺天盖地的调查。在紧迫的时间和严密的侦查之下，他们拼命打造了新的热气球，而在此同时，秘密警察也逐渐锁定了他们，一场分秒必争的绝命逃亡就此展开…,米夏埃尔·赫尔比希,Ballon,德国,2018-09-27德国上映,/ 120分钟,"剧情,惊悚,历史",气球
伯虎，浩南和排骨三人自幼就是好友，三人却都是《唐伯虎点秋香》这部电影的迷弟，从小看到大，长大之后，伯虎当上探员，浩南为人泊车，排骨却成了个没名气的发明家。机缘巧合，排骨制成了一部时光机，却误把自己三人吸入了《唐伯虎点秋香》电影中，并且在唐伯虎家遇上了他的损友祝枝山，知道唐伯虎为避宁王招揽已逃之夭夭，卖身华府点秋香一事从未发生，黄伯虎突发奇想，想代替唐伯虎去华府点秋香，用智能电话作饵诱祝枝山带路，祝以为是宝物，马上答应。四人卖身进了华府，发现石榴是两姐妹，一样泼辣，小石榴更是又美又泼辣，狠狠折磨四人，但丫环中只有东南西北中发白香，却没有秋香，到底四人能否成功点到秋香，又能否回到现代呢？,张敏,Flirting Scholar from the Future,"中国香港,中国大陆",2019-01-25大陆上映,,"喜剧,爱情,奇幻,古装",唐伯虎点秋香2019
影片由“向阳早餐”“小小的时尚”“上海恋”三个短篇组成，分别由叫兽易小星、竹内良贵与李豪凌担任导演。 易小星首次担任动画导演，由他执导的短篇“向阳早餐”以北京为舞台，讲述北漂青年与身处故乡的祖母之间的故事。故事原案来自易小星6年前写下的文章——当时的他初到北京，无依无靠无目标，在某个寒冬之夜想起故乡的祖母与家庭，因而写下这个故事。他表示希望将这部作品献给自己的祖母，但遗憾的是在完成作品的两个月前，祖母离世，没能见到成品。 竹内良贵执导的“小小的时尚”讲述在广州相互帮助、共同生活的一对姐妹的生活，竹内良贵创作动画时到广州汲取灵感，他认为广州就像是一幅印刻着时代变化的画卷，于是开始设想当地人的生活，他们可能有幸福的、有痛苦的，有对未来抱有希望的、也有随波逐流只是“活着”的人。在他的短篇里，他将通过服装来描写这对姐妹之间关系的变化。 李豪凌执导的“上海恋”则聚焦上海的一对青梅竹马的初恋故事，故事的舞台设定在上海石库门，这里随着时代变迁人开始变少，石库门也逐渐被破坏。年少时曾抱有可以与家人永远在这里生活下去的念想，但最终面临分离，甚至永别。李豪凌认为这种对于老家的感情，与初恋的情感有相似之处。,李豪凌,Flavors of Youth,"中国大陆,日本",2018-08-04大陆上映,/ 75分钟,动画,肆式青春
可爱的小女孩莱莉（凯特林·迪亚斯 配音）出生在明尼苏达州一个平凡的家庭中，从小她在父母的呵护下长大，脑海中保存着无数美好甜蜜的回忆。当然这些记忆还与几个莱莉未曾谋面的伙伴息息相关，他们就是人类的五种主要情绪：乐乐（艾米·波勒 配音）、忧忧（菲利丝·史密斯 配音）、惧惧（比尔·哈德尔 配音）、厌厌（敏迪·卡灵 配音）和怒怒（刘易斯·布莱克 配音）。乐乐作为团队的领导，她协同其他伙伴致力于为小主人营造更多美好的珍贵回忆。某天，莱莉随同父母搬到了旧金山，肮脏逼仄的公寓、陌生的校园环境、逐渐失落的友情都让莱莉无所适从，她的负面情绪逐渐累积，内心美好的世界渐次崩塌。 为了保护这一切，快乐只有行动起来……,彼特·道格特,Inside Out,美国,2015-10-06大陆上映,/ 95分钟,"动画,喜剧,家庭",头脑特工队
乐珊珊（尚雯婕 饰）是演艺圈里一颗冉冉升起的新星，天性崇尚自由的乐珊珊不满意于经纪公司填鸭式的活动安排，和经纪人之间产生了矛盾，一怒之下，乐珊珊上演了“离家出走”的戏码，只身一人来到风景秀丽的江南小镇，决定在这里给自己好好放一个假。 期间，乐珊珊结识了名不见经传的落魄画家沙立（李晨 饰），两人在误打误撞之中救下了一只小熊，两人遂扮演起了“熊爸”和“熊妈”的角色，精心照料和保护着小熊。镇上出现了四个神秘男子，他们四处探访寻查，只为找到小熊的下落，他们四人的目标十分明确，那就是活捉小熊，活取熊胆！,程樯,Watch Out For The Bear,中国大陆,2010-10-01大陆上映,/ 90分钟,"喜剧,惊悚,恐怖",熊出没注意
"The striking and brutal realities of the students struggling for food, shelter and medication. Mimi's death from TB - and her illness unnoticed at first even by her closest friends - cannot but send a chilling chord in our modern world.",马克·多恩福-梅,La Bohème,"南非,德国,英国",2015-08-27德国上映,/ 90分钟,音乐,波西米亚
1939年，超自然力量顾问布鲁坦宏教授曾消灭了一个专以残害无辜生命并浴血而得到青春美貌的女吸血鬼娥苏倍安度修，然而此时纽约上城有人想要让这股邪恶的力量重生。教授开始著手调查此事并联合地狱怪客与其他具有超能力的成员展开对抗的计划……,维克多·库克,Hellboy: Blood and Iron,美国,2007-06-12大陆上映,/ 76分钟,"剧情,动作,科幻,动画,战争,冒险",地狱男爵动画版：铁血惊魂
巨石强森的新片《为家而战》改编自英国最年轻的女摔角冠军佩吉的真实故事。佩吉(佛罗伦斯·珀 饰)出生于摔角世家，尽管沉迷摔角的一家人被许多人认为是“怪胎家庭”，但与哥哥（杰克·劳登 饰）一起加入WWE（世界摔角娱乐）成为最顶级的摔角手一直是佩吉的梦想。哥哥的意外落选，独自被选中进入WWE训练营的佩吉，在同是WWE摔角手的巨石强森的帮助下，发起了为家人“正名”的冠军争夺。值得注意的是，同样来自摔角世家的巨石强森在片中可谓真正的本色演出。,斯戴芬·莫昌特,Fighting with My Family,"英国,美国",2019-02-14美国上映,/ 108分钟,"喜剧,动作",为家而战
Garbagehouse Pictures发行的一个B级片预告合集系列第三部，包含了超过250部不同的80年代恐怖片的预告片，均4K转录于35mm的放映拷贝。,Chris Poggiali,Trailer Trauma 3: '80s Horror-Thon,美国,2017-01-02美国蓝光发行上映,/ 439分钟,恐怖,预告片创伤3：80年代恐怖马拉松
1990年，一艘巨大的飞船出现在地球上空，人们惶恐不安，却又分外好奇。经过一段时间紧张的等待，外星飞船始终没有动静。人类终于小心翼翼靠近它，强行走进舱内，结果发现了不计其数的外星人。他们形容丑陋，宛如虾子，而且健康状况极差，虚弱无力。原来这是一群来自外星的难民，他们最终被地球人接纳，并隔离在南非约翰内斯堡的一片区域内生活，此地名为“第九区”。经过长达20年的繁衍，外星难民的数量扩张至180万之多，且和周边人类的矛盾冲突不断，越来越多的人类呼吁将“大虾”赶出地球。MNU（列国同盟组织）经过磋商，决定将外星难民迁移到更为偏远的区域。MNU外星事务部门的特工威库斯（沙尔托·科普雷 饰）专门负责搬迁工作。威库斯在动员过程中傲慢随意，与当地居民冲突频频。最终，他为自己的行为付出代价，外星人的神秘流体将其感染，威库斯慢慢变成了外星人的模样……,尼尔·布洛姆坎普,District 9,"美国,新西兰,加拿大,南非",2009-11-27大陆上映,/ 112分钟,"动作,惊悚,科幻",第九区
懵懂少年何巨峰（何浩文 饰）被学校退学，之后，母亲又因病倒下，于是，整个家庭的重担便落到了他的肩上。何巨峰来到了红姐（江美仪 饰）所经营的夜店做清洁工，最终没能经受住金钱的诱惑，成为了一名夜店牛郎。 何巨峰初来乍到，处处碰壁，更被头牌克里斯（白健恩 饰）羞辱戏弄，前途一 片茫然，就在此时，何巨峰偶然邂逅了早已经隐退江湖的一代鸭王埃博森（单立文 饰），后者化身成为其师傅，将毕生经验绝学传授给何巨峰。何巨峰重回夜店，技艺果然精湛了许多，他一路披荆斩棘，最终成为了夜店里的当红小生，甚至有女客人为了他，甘愿抛弃抛弃家庭。,区焯文,鴨王,中国香港,2015-01-29中国香港上映,/ 96分钟,"喜剧,爱情,情色",鸭王
大森是动物园里的一只金丝猴，他梦想自己有一天能成为——“齐天大圣”孙悟空。大森和动物管理员观观有着深厚的友谊。当神秘的怪物出现把观观绑架去了纽约，大森发现控制观观的邪恶力量就是孙悟空曾经的手下败将——牛魔王。如何营救观观、如何打败牛魔王成了摆在大森面前的难题，然而就在这个时候，传说中的八戒大师和身份成谜的纽约警官阿莫出现在了大森的身边......,叶伟青,Monkey King Reloaded,"中国大陆,中国香港",2018-07-14大陆上映,/ 85分钟,"喜剧,动画,冒险",小悟空
以茅趸华（刘青云 饰）为首的一群古惑仔自诩慈云山十三太保，他们打劫、砍人、吸毒、贩毒，挥霍着他们无处安放的青春。时代变迁，物是人非，唯有茅趸华、猫仔（张晋 饰）、喇叭（林家栋 饰）、哈雷（古天乐 饰）四兄弟始终不离不弃，继续在他们的人生中活出精彩，直至今日，江湖依然有他们的传说！,刘国昌,Dealer Healer,"中国大陆,中国香港",2017-05-12大陆上映,/ 100分钟,"剧情,犯罪,传记",毒。诫
人生一直处于辉煌巅峰的林天娇（郭姝彤 饰），面对人生最重要的一次高考加分考试却重感冒了，情急之下她想通过作弊的方式顺利过关。没想到作弊也是需要技巧的，作弊失误的林天娇被高翔（白敬亭 饰）看到，掉在地上的课本被老师误解这是高翔所为，高翔选择为林天娇挡了一刀。林天娇并不知道，她的人生的轨道从那一刻开始走向了另外一根轨道。毕竟高翔是她整个学习生涯中最反感的人。和自己讨厌的人扯上关系之后，林天娇用尽了各种方式想要摆脱高翔。倒不是谁吸引着谁，而是少年时大多数的气急败坏不是因为真的讨厌，而是因为害怕别人的眼光，害怕自己会变得不一样，害怕有人进入内心，害怕看不到前方而恐慌。在这个过程中，两个人互相拆台，林天娇发誓要拼个你死我活 。,姚婷婷,Yesterday Once More,中国大陆,2016-04-22大陆上映,/ 108分钟,"剧情,爱情",谁的青春不迷茫
恐怖小说作家小艾（梅婷 饰）因为担心出狱的前夫齐崑（吴超 饰）要夺去心爱的儿子，带着五岁的儿子小辛到好友亦南（郭京飞 饰）的乡间别墅躲避，正好安心写完她的新小说。　　陪着妈妈写作的小辛无趣之中只好拿起画笔，整日画画。很快，各种离奇事件在古老的别墅里发生。小辛坚称认识了一个住在别墅里小女孩，这让小艾大感诧异，因为别墅附近方圆几公里都没有人；而创作陷入瓶颈的小艾在苦苦挣扎写不出一个字的时候，大段的小说文字鬼使神差的出现在电脑里，并且与小辛认识的神秘小女孩惊人相似。最终小辛的离奇失踪，彻底把小艾推向了恐慌和崩溃的边缘……,安兵基,Bunshinsaba,中国大陆,2012-07-17大陆上映,/ 94分钟,"剧情,惊悚,悬疑",笔仙
1904年，5.4级地震突袭挪威首都奥斯陆，造成严重伤亡！多年来，挪威仍不时受细规模地震影响。然而，地质学专家预测，一场难以避免的巨型地震将会再次发生，今次杀伤力更会远超当年。不过，他们却无法准确预计地震出现的时间，可能会是100年后、10年后、甚至明日…当地震来临时，众人又能否全身而退？,约翰·安德烈亚斯·安德森,Skjelvet,挪威,2018-08-31挪威上映,/ 106分钟,"剧情,灾难",大地震
